DATE,WEIGHT,CHANGE,,TOTAL LOST:,40.8,YTD Lost:,-1.2,,,,Last Modified:
2026-02-22,229.2,0,,,,,,,,,
2026-02-15,229.2,1,,,,,,,,,
2026-02-08,228.2,0,,,,,,,,,
2026-02-01,228.2,-1.8,,,,,,,,,
2026-01-25,230,1,,,,,,,,,
2026-01-18,229,1.4,,,,,,,,,
2026-01-11,227.6,0,,,,,,,,,
2026-01-04,227.6,0,,,,,,,,,
2025-12-28,227.6,0.6,,,,,,,,,
2025-12-21,227,-3,,,,,,,,,
2025-12-14,230,2,,,,,,,,,
2025-12-07,228,0,,,,,,,,,
2025-11-30,228,0,,,,,,,,,
2025-11-23,228,3,,,,,,,,,
2025-11-16,225,1,,,,,,,,,
2025-11-09,224,2.6,,,,,,,,,
2025-11-02,221.4,1.2,,,,,,,,,
2025-10-26,220.2,-1.8,,,,,,,,,
2025-10-19,222,1,,,,,,,,,
2025-10-12,221,-1,,,,,,,,,
2025-10-05,222,-0.2,,,,,,,,,
2025-09-28,222.2,-2.4,,,,,,,,,
2025-09-21,224.6,-2.4,,,,,,,,,
2025-09-14,227,-0.8,,,,,,,,,
2025-09-07,227.8,2,,,,,,,,,
2025-08-31,225.8,-0.2,,,,,,,,,
2025-08-24,226,1.4,,,,,,,,,
2025-08-17,224.6,-0.2,,,,,,,,,
2025-08-10,224.8,1,,,,,,,,,
2025-07-20,223.8,0.8,,,,,,,,,
2025-07-20,223,0.6,,,,,,,,,
2025-07-20,222.4,0.2,,,,,,,,,
2025-07-13,222.2,0,,,,,,,,,
2025-07-06,222.2,0,,,,,,,,,
2025-06-29,222.2,0.2,,,,,,,,,
2025-06-22,222,0,,,,,,,,,
2025-06-15,222,1,,,,,,,,,
2025-06-08,221,0,,,,,,,,,
2025-06-01,221,-1.3,,,,,,,,,
2025-05-25,222.3,-0.9,,,,,,,,,
2025-05-18,223.2,-2.8,,,,,,,,,
2025-05-11,226,1.2,,,,,,,,,
2025-05-04,224.8,-2.2,,,,,,,,,
2025-04-27,227,1.4,,,,,,,,,
2025-04-20,225.6,-0.8,,,,,,,,,
2025-04-13,226.4,-0.8,,,,,,,,,
2025-04-06,227.2,-1.2,,,,,,,,,
2025-03-30,228.4,-0.6,,,,,,,,,
2025-03-23,229,-1.6,,,,,,,,,
2025-03-16,230.6,-1.4,,,,,,,,,
2025-03-09,232,-0.8,,,,,,,,,
2025-03-02,232.8,-1.6,,,,,,,,,
2025-02-23,234.4,-2,,,,,,,,,
2025-02-16,236.4,-0.8,,,,,,,,,
2025-02-09,237.2,-0.8,,,,,,,,,
2025-02-02,238,-2,,,,,,,,,
2025-01-26,240,-1.2,,,,,,,,,
2025-01-19,241.2,-1.2,,,,,,,,,
2025-01-12,242.4,-0.4,,,,,,,,,
2025-01-05,242.8,-0.2,,,,,,,,,
2024-12-29,243,-0.8,,,,,,,,,
2024-12-22,243.8,-2.6,,,,,,,,,
2024-12-15,246.4,0.8,,,,,,,,,
2024-12-08,245.6,-1.4,,,,,,,,,
2024-12-01,247,3,,,,,,,,,
2024-11-24,244,-1.4,,,,,,,,,
2024-11-17,245.4,2,,,,,,,,,
2024-11-10,243.4,-0.4,,,,,,,,,
2024-11-03,243.8,-1.2,,,,,,,,,
2024-10-27,245,0.6,,,,,,,,,
2024-10-20,244.4,0.2,,,,,,,,,
2024-10-13,244.2,-0.2,,,,,,,,,
2024-10-06,244.4,-0.8,,,,,,,,,
2024-09-29,245.2,0.8,,,,,,,,,
2024-09-22,244.4,-0.8,,,,,,,,,
2024-09-15,245.2,-0.6,,,,,,,,,
2024-09-08,245.8,0,,,,,,,,,
2024-09-01,245.8,-0.2,,,,,,,,,
2024-08-25,246,-2.2,,,,,,,,,
2024-08-18,248.2,2.8,,,,,,,,,
2024-08-11,245.4,1.4,,,,,,,,,
2024-08-04,244,1,,,,,,,,,
2024-07-28,243,1.2,,,,,,,,,
2024-07-21,241.8,1.8,,,,,,,,,
2024-07-14,240,4.4,,,,,,,,,
2024-07-07,235.6,-4.4,,,,,,,,,
2024-06-30,240,2.6,,,,,,,,,
2024-06-23,237.4,-0.4,,,,,,,,,
2024-06-16,237.8,-3,,,,,,,,,
2024-06-09,240.8,-0.3,,,,,,,,,
2024-06-02,241.1,-0.3,,,,,,,,,
2024-05-26,241.4,0.3,,,,,,,,,
2024-05-19,241.1,-1.7,,,,,,,,,
2024-05-12,242.8,-2.4,,,,,,,,,
2024-05-05,245.2,-0.2,,,,,,,,,
2024-04-28,245.4,-3.4,,,,,,,,,
2024-04-21,248.8,-2.6,,,,,,,,,
2024-04-14,251.4,-1.6,,,,,,,,,
2024-04-07,253,-3,,,,,,,,,
2024-03-31,256,0.8,,,,,,,,,
2024-03-24,255.2,0,,,,,,,,,
2024-03-17,255.2,-2.8,,,,,,,,,
2024-03-10,258,-1.2,,,,,,,,,
2024-03-03,259.2,-0.8,,,,,,,,,
2024-02-25,260,-2.8,,,,,,,,,
2024-02-18,262.8,-3.2,,,,,,,,,
2024-02-11,266,,,,,,,,,,